11:15:32.083 [ApplicationImpl pooled thread 294] INFO  com.browserstack.utils.Helpers - null
11:15:32.085 [ApplicationImpl pooled thread 294] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:16:33.432 [ApplicationImpl pooled thread 311] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:16:33.432 [ApplicationImpl pooled thread 311] INFO  com.browserstack.utils.Helpers - null
11:16:33.434 [ApplicationImpl pooled thread 311] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:18:06.682 [ApplicationImpl pooled thread 308] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:18:06.682 [ApplicationImpl pooled thread 308] INFO  com.browserstack.utils.Helpers - null
11:18:06.685 [ApplicationImpl pooled thread 308] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:18:22.985 [ApplicationImpl pooled thread 309] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:18:22.985 [ApplicationImpl pooled thread 309] INFO  com.browserstack.utils.Helpers - null
11:18:22.986 [ApplicationImpl pooled thread 309] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:18:31.816 [ApplicationImpl pooled thread 305] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:18:31.816 [ApplicationImpl pooled thread 305] INFO  com.browserstack.utils.Helpers - null
11:18:31.819 [ApplicationImpl pooled thread 305] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:57:41.410 [ApplicationImpl pooled thread 363] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:57:41.410 [ApplicationImpl pooled thread 363] INFO  com.browserstack.utils.Helpers - null
11:57:41.412 [ApplicationImpl pooled thread 363] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:58:28.396 [ApplicationImpl pooled thread 365] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:58:28.396 [ApplicationImpl pooled thread 365] INFO  com.browserstack.utils.Helpers - null
11:58:28.399 [ApplicationImpl pooled thread 365] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:34:21.379 [ApplicationImpl pooled thread 416] INFO  c.b.l.BrowserStackRunExtension - cucumber java
12:34:21.379 [ApplicationImpl pooled thread 416] INFO  com.browserstack.utils.Helpers - null
12:34:21.382 [ApplicationImpl pooled thread 416] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:46:28.881 [ApplicationImpl pooled thread 435] INFO  c.b.l.BrowserStackRunExtension - junit
12:46:28.881 [ApplicationImpl pooled thread 435] INFO  com.browserstack.utils.Helpers - null
12:46:28.884 [ApplicationImpl pooled thread 435] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:49:16.571 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - junit
12:49:16.571 [ApplicationImpl pooled thread 453] INFO  com.browserstack.utils.Helpers - null
12:49:16.572 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:50:53.795 [ApplicationImpl pooled thread 454] INFO  c.b.l.BrowserStackRunExtension - junit
12:50:53.795 [ApplicationImpl pooled thread 454] INFO  com.browserstack.utils.Helpers - null
12:50:53.795 [ApplicationImpl pooled thread 454] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:52:52.974 [ApplicationImpl pooled thread 463] INFO  c.b.l.BrowserStackRunExtension - junit
12:52:52.974 [ApplicationImpl pooled thread 463] INFO  com.browserstack.utils.Helpers - null
12:52:52.978 [ApplicationImpl pooled thread 463] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:54:08.159 [ApplicationImpl pooled thread 472] INFO  c.b.l.BrowserStackRunExtension - cucumber java
12:54:08.159 [ApplicationImpl pooled thread 472] INFO  com.browserstack.utils.Helpers - null
12:54:08.165 [ApplicationImpl pooled thread 472] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:59:00.046 [ApplicationImpl pooled thread 487] INFO  c.b.l.BrowserStackRunExtension - junit
12:59:00.046 [ApplicationImpl pooled thread 487] INFO  com.browserstack.utils.Helpers - null
12:59:00.046 [ApplicationImpl pooled thread 487] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:00:38.473 [ApplicationImpl pooled thread 483] INFO  c.b.l.BrowserStackRunExtension - junit
13:00:38.473 [ApplicationImpl pooled thread 483] INFO  com.browserstack.utils.Helpers - null
13:00:38.473 [ApplicationImpl pooled thread 483] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:02:35.837 [ApplicationImpl pooled thread 482] INFO  c.b.l.BrowserStackRunExtension - junit
13:02:35.837 [ApplicationImpl pooled thread 482] INFO  com.browserstack.utils.Helpers - null
13:02:35.837 [ApplicationImpl pooled thread 482] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:03:00.050 [ApplicationImpl pooled thread 501] INFO  c.b.l.BrowserStackRunExtension - junit
13:03:00.050 [ApplicationImpl pooled thread 501] INFO  com.browserstack.utils.Helpers - null
13:03:00.052 [ApplicationImpl pooled thread 501] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:05:21.032 [ApplicationImpl pooled thread 512] INFO  c.b.l.BrowserStackRunExtension - junit
13:05:21.032 [ApplicationImpl pooled thread 512] INFO  com.browserstack.utils.Helpers - null
13:05:21.032 [ApplicationImpl pooled thread 512] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:05:48.009 [ApplicationImpl pooled thread 506] INFO  c.b.l.BrowserStackRunExtension - junit
13:05:48.010 [ApplicationImpl pooled thread 506] INFO  com.browserstack.utils.Helpers - null
13:05:48.010 [ApplicationImpl pooled thread 506] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:06:53.177 [ApplicationImpl pooled thread 514] INFO  c.b.l.BrowserStackRunExtension - junit
13:06:53.177 [ApplicationImpl pooled thread 514] INFO  com.browserstack.utils.Helpers - null
13:06:53.177 [ApplicationImpl pooled thread 514] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:07:40.654 [ApplicationImpl pooled thread 507] INFO  c.b.l.BrowserStackRunExtension - junit
13:07:40.654 [ApplicationImpl pooled thread 507] INFO  com.browserstack.utils.Helpers - null
13:07:40.655 [ApplicationImpl pooled thread 507] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:11:40.532 [ApplicationImpl pooled thread 532] INFO  c.b.l.BrowserStackRunExtension - junit
13:11:40.533 [ApplicationImpl pooled thread 532] INFO  com.browserstack.utils.Helpers - null
13:11:40.533 [ApplicationImpl pooled thread 532] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:16:12.243 [ApplicationImpl pooled thread 535] INFO  c.b.l.BrowserStackRunExtension - junit
13:16:12.243 [ApplicationImpl pooled thread 535] INFO  com.browserstack.utils.Helpers - null
13:16:12.244 [ApplicationImpl pooled thread 535] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:16:57.515 [ApplicationImpl pooled thread 541] INFO  c.b.l.BrowserStackRunExtension - junit
13:16:57.515 [ApplicationImpl pooled thread 541] INFO  com.browserstack.utils.Helpers - null
13:16:57.517 [ApplicationImpl pooled thread 541] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:24:56.947 [ApplicationImpl pooled thread 552] INFO  c.b.l.BrowserStackRunExtension - junit
13:24:56.947 [ApplicationImpl pooled thread 552] INFO  com.browserstack.utils.Helpers - null
13:24:56.947 [ApplicationImpl pooled thread 552] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:25:53.030 [ApplicationImpl pooled thread 566] INFO  c.b.l.BrowserStackRunExtension - junit
13:25:53.030 [ApplicationImpl pooled thread 566] INFO  com.browserstack.utils.Helpers - null
13:25:53.030 [ApplicationImpl pooled thread 566] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:28:10.306 [ApplicationImpl pooled thread 552] INFO  c.b.l.BrowserStackRunExtension - junit
13:28:10.306 [ApplicationImpl pooled thread 552] INFO  com.browserstack.utils.Helpers - null
13:28:10.306 [ApplicationImpl pooled thread 552] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:29:16.868 [ApplicationImpl pooled thread 552] INFO  c.b.l.BrowserStackRunExtension - junit
13:29:16.868 [ApplicationImpl pooled thread 552] INFO  com.browserstack.utils.Helpers - null
13:29:16.870 [ApplicationImpl pooled thread 552] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:39:48.589 [ApplicationImpl pooled thread 594] INFO  c.b.l.BrowserStackRunExtension - junit
13:39:48.589 [ApplicationImpl pooled thread 594] INFO  com.browserstack.utils.Helpers - null
13:39:48.589 [ApplicationImpl pooled thread 594] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:40:34.984 [ApplicationImpl pooled thread 594] INFO  c.b.l.BrowserStackRunExtension - junit
13:40:34.984 [ApplicationImpl pooled thread 594] INFO  com.browserstack.utils.Helpers - null
13:40:34.987 [ApplicationImpl pooled thread 594] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:40:46.648 [ApplicationImpl pooled thread 593] INFO  c.b.l.BrowserStackRunExtension - junit
13:40:46.649 [ApplicationImpl pooled thread 593] INFO  com.browserstack.utils.Helpers - null
13:40:46.652 [ApplicationImpl pooled thread 593] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
